wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
12754975-n,aspen with a narrow crown; eastern North America,i103759,Canadian aspen|bigtooth aspen|bigtoothed aspen|big-toothed aspen|large-toothed aspen|large tooth aspen|Populus grandidentata,Q1536353
12755920-n,"parasitic tree of Indonesia and Malaysia having fragrant close-grained yellowish heartwood with insect repelling properties and used, e.g., for making chests",i103763,sandalwood tree|true sandalwood|Santalum album,Q210858
12757363-n,Australian tree with edible flesh and edible nutlike seed,i103770,quandong|quandang|quandong tree|Eucarya acuminata|Fusanus acuminatus,Q87643137
12757759-n,shrub of southeastern United States parasitic on roots of hemlocks having sparse spikes of greenish flowers and pulpy drupes,i103772,rabbitwood|buffalo nut|Pyrularia pubera,Q18076760
12758658-n,"shrub of central and southeastern Europe; partially parasitic on beeches, chestnuts and oaks",i103776,mistletoe|Loranthus europaeus,Q164391
12759019-n,small herb with scalelike leaves on reddish-brown stems and berrylike fruits; parasitic on spruce and larch trees,i103778,American mistletoe|Arceuthobium pusillum,Q15379241
12760726-n,the traditional mistletoe of Christmas in America: grows on deciduous trees and can severely weaken the host plant,i103786,American mistletoe|Phoradendron serotinum|Phoradendron flavescens,Q15392705
12762346-n,deciduous tree of southwestern United States having pulpy fruit containing saponin,i103793,wild China tree|Sapindus marginatus|Sapindus drummondii,Q22112311
12763638-n,herbaceous vine of tropical America and Africa,i103799,heartseed|Cardiospermum grandiflorum,Q15547168
12764736-n,fast-growing tree of India and East Indies yielding a wood used especially for building,i103805,harpulla|Harpullia cupanioides,Q10888557
12766324-n,East Indian fruit tree bearing fruit similar to but sweeter than that of the rambutan,i103813,pulasan|pulassan|pulasan tree|Nephelium mutabile,Q50849806
12767013-n,large slow-growing evergreen shrub or small tree with multiple stems; extensively used for hedges or borders and topiary figures,i103817,common box|European box|Buxus sempervirens,Q27344
12767880-n,low semi-evergreen perennial herb having small spikes of white or pinkish flowers; native to southern United States but grown elsewhere,i103821,Allegheny spurge|Allegheny mountain spurge|Pachysandra procumbens,Q160280
12768131-n,slow-growing Japanese evergreen subshrub having terminal spikes of white flowers; grown as a ground cover,i103822,Japanese spurge|Pachysandra terminalis,Q159315
12770049-n,small erect deciduous shrub having tough white wood and cathartic bark and fruit,i103830,common spindle tree|Euonymus europaeus,Q161379
12770612-n,upright deciduous plant with crimson pods and seeds; the eastern United States from New York to Florida and Texas,i103833,strawberry bush|wahoo|Euonymus americanus,Q4117758
12771066-n,shrubs and trees with leathery leaves and small white flowers in racemes: genera Cyrilla and Cliftonia,i103835,Cyrilliaceae|family Cyrilliaceae|cyrilla family|titi family,Q132989
12771527-n,shrub or small tree of southeastern United States to West Indies and Brazil; grown for the slender racemes of white flowers and orange and crimson foliage,i103837,cyrilla|leatherwood|white titi|Cyrilla racemiflora,Q140549
12774763-n,maple of western North America having large 5-lobed leaves orange in autumn,i103852,Oregon maple|big-leaf maple|Acer macrophyllum,Q599523
12774934-n,small maple of northwestern North America,i103853,dwarf maple|Rocky-mountain maple|Acer glabrum,Q540650
12775408-n,shrubby Eurasian maple often used as a hedge,i103856,hedge maple|field maple|Acer campestre,Q158785
12775541-n,a large Eurasian maple tree naturalized in North America; five-lobed leaves yellow in autumn; cultivated in many varieties,i103857,Norway maple|Acer platanoides,Q26745
12776319-n,small shrubby Japanese plant with leaves having 5 to 7 acuminate lobes; yellow in autumn,i103861,pointed-leaf maple|Acer argutum,Q357629
12776487-n,leaves deeply incised and bright red in autumn; Japan,i103862,Japanese maple|full moon maple|Acer japonicum,Q149269
12777875-n,dense rounded evergreen shrub of China having spiny leaves; widely cultivated as an ornamental,i103868,Chinese holly|Ilex cornuta,Q1074050
12778218-n,evergreen holly of eastern North America with oblong leathery leaves and small black berries,i103870,inkberry|gallberry|gall-berry|evergreen winterberry|Ilex glabra,Q5997676
12780033-n,tropical American evergreen tree bearing kidney-shaped nuts that are edible only when roasted,i103884,cashew|cashew tree|Anacardium occidentale,Q34007
12781635-n,small aromatic evergreen shrub of California having paniculate leaves and whitish berries; in some classifications included in genus Rhus,i103892,laurel sumac|Malosma laurina|Rhus laurina,Q15544644
12782044-n,large evergreen tropical tree cultivated for its large oval fruit,i103894,mango|mango tree|Mangifera indica,Q3919027
12783165-n,evergreen of Australia yielding a dark yellow wood,i103900,Australian sumac|Rhodosphaera rhodanthema|Rhus rhodanthema,Q7321221
12784962-n,deciduous shrubby tree or eastern North America with compound leaves that turn brilliant red in fall and dense panicles of greenish yellow flowers followed by crimson acidic berries,i103908,staghorn sumac|velvet sumac|Virginian sumac|vinegar tree|Rhus typhina,Q148986
12785738-n,small resinous tree or shrub of Brazil,i103911,aroeira blanca|Schinus chichita|Brazilian pepper tree|Schinus terebinthifolia,Q899313
12785875-n,small Peruvian evergreen with broad rounded head and slender pendant branches with attractive clusters of greenish flowers followed by clusters of rose-pink fruits,i103912,pepper tree|molle|Peruvian mastic tree|Schinus molle,Q855896
12786803-n,common tropical American shrub or small tree with purplish fruit,i103916,mombin|mombin tree|jocote|Spondias purpurea,Q1424396
12787355-n,smooth American swamp shrub with pinnate leaves and greenish flowers followed by greenish white berries; yields an irritating oil,i103918,poison ash|poison dogwood|poison sumac|Toxicodendron vernix|Rhus vernix,Q7002291
12787629-n,climbing plant common in eastern and central United States with ternate leaves and greenish flowers followed by white berries; yields an irritating oil that causes a rash on contact,i103919,poison ivy|markweed|poison oak|Toxicodendron radicans|Rhus radicans,Q7218532
12788183-n,poisonous shrub of southeastern United States causing a rash on contact,i103921,eastern poison oak|Toxicodendron quercifolium|Rhus quercifolia|Rhus toxicodenedron,Q15525575
12788408-n,small Asiatic tree yielding a toxic exudate from which lacquer is obtained,i103922,varnish tree|lacquer tree|Chinese lacquer tree|Japanese lacquer tree|Japanese varnish tree|Japanese sumac|Toxicodendron vernicifluum|Rhus verniciflua,Q28933284
12789129-n,tree having palmate leaves and large clusters of white to red flowers followed by brown shiny inedible seeds,i103925,horse chestnut|buckeye|Aesculus hippocastanum,Q26899
12791289-n,tropical tree of southern Asia having hard dark-colored heartwood used in cabinetwork,i103937,ebony|ebony tree|Diospyros ebenum,Q5279626
12791652-n,large Asiatic tree having hard marbled zebrawood,i103939,marblewood|marble-wood|Andaman marble|Diospyros kurzii,Q15340072
12792357-n,medium-sized tree of dry woodlands in the southern and eastern United States bearing yellow or orange very astringent fruit that is edible when fully ripe,i103943,American persimmon|possumwood|Diospyros virginiana,Q158356
12792650-n,an Asiatic persimmon tree cultivated for its small yellow or purplish-black edible fruit much valued by Afghan tribes,i103944,date plum|Diospyros lotus,Q771101
12793668-n,shrubby thorny deciduous tree of southeastern United States with white flowers and small black drupaceous fruit,i103949,southern buckthorn|shittimwood|shittim|mock orange|Bumelia lycioides,Q59922235
12793902-n,deciduous tree of southeastern United States and Mexico,i103950,false buckthorn|chittamwood|chittimwood|shittimwood|black haw|Bumelia lanuginosa,Q85194128
12795830-n,one of several East Indian trees yielding gutta-percha of the getah taban merah or getah taban sutra variety (Palaquium gutta),i103960,gutta-percha tree|Palaquium gutta,Q160029
12799158-n,medium-sized tree of West Virginia to Florida and Texas,i103979,silver-bell tree|silverbell tree|snowdrop tree|opossum wood|Halesia carolina|Halesia tetraptera,Q3125935
12800611-n,perennial bog herb having dark red flowers and decumbent broadly winged pitchers forming a rosette; of northeastern North America and naturalized in Europe especially Ireland,i103985,common pitcher plant|huntsman's cup|huntsman's cups|Sarracenia purpurea,Q1927560
12801323-n,pitcher plant of southeastern United States having erect yellow trumpet-shaped pitchers with wide mouths and erect lids,i103988,huntsman's horn|huntsman's horns|yellow trumpet|yellow pitcher plant|trumpets|Sarracenia flava,Q1499289
12801767-n,marsh or bog herb having solitary pendulous yellow-green flowers and somewhat twisted pitchers with broad wings below,i103990,California pitcher plant|Darlingtonia californica,Q1138945
12804490-n,"perennial of dry habitats whose leaves have glandular hairs that secrete adhesive and digestive fluid for capture and digestion of insects; Portugal, southern Spain and Morocco",i104004,Drosophyllum lusitanicum,Q736307
12805649-n,a carnivorous perennial herb having a green pitcher and hinged lid both with red edges; western Australia,i104010,Australian pitcher plant|Cephalotus follicularis,Q140898
12807033-n,Eurasian mountain plant with fleshy pink-tipped leaves and a cluster of yellow flowers,i104017,rose-root|midsummer-men|Sedum rosea,Q50862450
12807596-n,perennial subshrub of Tenerife having leaves in rosettes resembling pinwheels,i104020,pinwheel|Aeonium haworthii,Q511569
12808124-n,Australian tree or shrub with red flowers; often used in Christmas decoration,i104023,Christmas bush|Christmas tree|Ceratopetalum gummiferum,Q2946376
12809247-n,deciduous climber with aerial roots having white to creamy flowers in fairly flat heads,i104027,climbing hydrangea|Hydrangea anomala,Q148137
12809814-n,deciduous shrub or small tree with pyramidal flower clusters,i104030,fall-blooming hydrangea|Hydrangea paniculata,Q158443
12809986-n,deciduous climber with aerial roots having large flat flower heads,i104031,climbing hydrangea|Hydrangea petiolaris,Q159332
12814254-n,rosette-forming perennial having compact panicles of white flowers; Europe,i104048,meadow saxifrage|fair-maids-of-France|Saxifraga granulata,Q133867
12814455-n,tufted or mat-forming perennial of mountains of Europe; cultivated for its white flowers,i104049,mossy saxifrage|Saxifraga hypnoides,Q5397333
12814646-n,saxifrage having loose clusters of white flowers on hairy stems growing from a cluster of basal leaves; moist slopes of western North America,i104050,western saxifrage|Saxifraga occidentalis,Q39924421
12815328-n,eastern Asiatic saxifrage with racemes of small red-and-white flowers; spreads by numerous creeping stolons,i104053,strawberry geranium|strawberry saxifrage|mother-of-thousands|Saxifraga stolonifera|Saxifraga sarmentosam,Q159002
12815969-n,North American astilbe with panicles of creamy white flowers,i104056,false goatsbeard|Astilbe biternata,Q15605463
12817785-n,aquatic herb with yellowish flowers; central and western United States,i104065,water carpet|water mat|Chrysosplenium americanum,Q15604950
12818128-n,rhizomatous perennial herb with large dramatic peltate leaves and white to bright pink flowers in round heads on leafless stems; colonizes stream banks in the Sierra Nevada in California,i104067,umbrella plant|Indian rhubarb|Darmera peltata|Peltiphyllum peltatum,Q1537045
12819392-n,plant with leathery heart-shaped leaf blades clustered at base of long stalks with greenish-white flowers clustered along the upper part; western North America,i104073,poker alumroot|poker heuchera|Heuchera cylindrica,Q17780590
12819670-n,perennial plant of the western United States having bright red flowers in feathery spikes; used as an ornamental,i104074,coralbells|Heuchera sanguinea,Q12332586
12820536-n,California perennial herb cultivated for its racemose white flowers with widely spreading petals; sometimes placed in genus Tellima,i104078,woodland star|Lithophragma affine|Lithophragma affinis|Tellima affinis,Q6648091
12822726-n,bog plant with broadly heart-shaped basal leaves and cream-colored or white saucer-shaped flowers with fringed petals; west of Rocky Mountains from Alaska to New Mexico,i104087,fringed grass of Parnassus|Parnassia fimbriata,Q7139267
12823986-n,plant growing in clumps with mostly basal leaves and cream-colored or pale pink fringed flowers in several long racemes; Alaska to coastal central California and east to Idaho,i104092,false alumroot|fringe cups|Tellima grandiflora,Q847750
12824514-n,stoloniferous white-flowered spring-blooming woodland plant,i104094,foamflower|coolwart|false miterwort|false mitrewort|Tiarella cordifolia,Q11891603
12824718-n,plant with tiny white flowers hanging in loose clusters on leafy stems; moist woods from Alaska to central California and east to Montana,i104095,false miterwort|false mitrewort|Tiarella unifoliata,Q110570693
12825112-n,vigorous perennial herb with flowers in erect racemes and having young plants develop at the junction of a leaf blade and the leafstalk,i104097,pickaback plant|piggyback plant|youth-on-age|Tolmiea menziesii,Q1422351
12826522-n,garden currant bearing small white berries,i104103,white currant|Ribes sativum,Q15441838
12828384-n,large tree of southeastern Europe to Asia Minor,i104112,oriental plane|Platanus orientalis,Q161105
12828533-n,tall tree of Baja California having deciduous bark and large alternate palmately lobed leaves and ball-shaped clusters of flowers,i104113,California sycamore|Platanus racemosa,Q164301
12828767-n,medium-sized tree of Arizona and adjacent regions having deeply lobed leaves and collective fruits in groups of 3 to 5,i104114,Arizona sycamore|Platanus wrightii,Q4115345
12830767-n,perennial erect herb with white flowers; circumboreal,i104122,northern Jacob's ladder|Polemonium boreale,Q1796649
12833238-n,widely cultivated southern European acanthus with whitish purple-veined flowers,i104134,bear's breech|bear's breeches|sea holly|Acanthus mollis,Q136648
12833561-n,tropical Old World shrub having purple or red tubular flowers and leaf markings resembling the profile of a human face,i104136,caricature plant|Graptophyllum pictum,Q2649413
12836428-n,tropical American evergreen that produces large round gourds,i104151,calabash|calabash tree|Crescentia cujete,Q214542
12837702-n,annual of western United States with coiled spikes of yellow-orange coiled flowers,i104157,common amsinckia|Amsinckia intermedia,Q21083612
12838615-n,anchusa of southern Africa having blue flowers with white throats,i104162,cape forget-me-not|Anchusa capensis,Q15574107
12838764-n,anchusa of southern Africa having blue to red-purple flowers,i104163,cape forget-me-not|Anchusa riparia,Q21244137
12839106-n,large tropical American tree of the genus Cordia grown for its abundant creamy white flowers and valuable wood,i104165,Spanish elm|salmwood|cypre|princewood|Cordia alliodora|Ecuador laurel,Q3303753
12839361-n,tropical American timber tree,i104166,princewood|Spanish elm|Cordia gerascanthus,Q15290191
12839901-n,biennial shrub of Europe and western Asia having coarse tongue-shaped leaves and dark reddish-purple flowers,i104169,hound's-tongue|Cynoglossum officinale,Q381584
12841429-n,European perennial branching plant; occurs in hedgerows and at the edge of woodlands,i104177,gromwell|Lithospermum officinale,Q515267
12841808-n,perennial North American plant with greyish hairy foliage yielding a red or yellow pigment,i104179,hoary puccoon|Indian paint|Lithospermum canescens,Q6648182
12842265-n,smooth erect herb of eastern North America having entire leaves and showy blue flowers that are pink in bud,i104181,Virginia bluebell|Virginia cowslip|Mertensia virginica,Q12901028
12842655-n,"small biennial to perennial herb of Europe, northern Africa and western Asia having blue, purple or white flowers",i104183,garden forget-me-not|Myosotis sylvatica,Q149464
12845049-n,twining plant of Asia Minor having cream-colored to purple flowers and long thick roots yielding a cathartic resin,i104195,scammony|Convolvulus scammonia,Q310388
12846481-n,leafless parasitic vine with dense clusters of small white bell-shaped flowers on orange-yellow stems that twine around clover or flax,i104203,love vine|Cuscuta gronovii,Q1547364
12846903-n,a creeping perennial herb with hairy stems and orbicular to reniform leaves and small white to greenish flowers; used as a grass substitute in warm regions,i104205,dichondra|Dichondra micrantha,Q17464870
12847828-n,annual or perennial climbing herb of Central America having sky-blue flowers; most commonly cultivated morning glory,i104209,common morning glory|Ipomoea tricolor,Q159698
12848297-n,pantropical climber having white fragrant nocturnal flowers,i104211,moonflower|belle de nuit|Ipomoea alba,Q133294
12849280-n,tropical American morning glory,i104216,scammony|Ipomoea orizabensis,Q15484739
12849737-n,hybrid from Ipomoea nil,i104219,imperial Japanese morning glory|Ipomoea imperialis,Q110703232
12851901-n,low-growing creeping perennial of Central America having deeply fringed white flowers; sometimes placed in genus Episcia,i104230,lace-flower vine|Alsobia dianthiflora|Episcia dianthiflora,Q17683027
12853298-n,herb of Colombia to Peru having pale purple flowers,i104237,Canterbury bell|Gloxinia perennis,Q5572270
12854286-n,South American herb cultivated in many varieties as a houseplant for its large handsome leaves and large variously colored bell-shaped flowers,i104243,florist's gloxinia|Sinningia speciosa|Gloxinia speciosa,Q163267
12855698-n,showy perennial herb with white flowers; leaves sometimes used as edible greens in southeastern United States,i104250,Virginia waterleaf|Shawnee salad|shawny|Indian salad|John's cabbage|Hydrophyllum virginianum,Q5955321
12856526-n,viscid evergreen shrub of western United States with white to deep lilac flowers; the sticky aromatic leaves are used in treating bronchial and pulmonary illnesses,i104254,yerba santa|Eriodictyon californicum,Q3056647
12857097-n,delicate California annual having blue flowers marked with dark spots,i104257,baby blue-eyes|Nemophila menziesii,Q4838435
12857268-n,California annual having white flowers with a deep purple blotch on each petal,i104258,five-spot|Nemophila maculata,Q10860459
12858019-n,desert plant of southern California with blue or violet tubular flowers in terminal racemes,i104262,California bluebell|whitlavia|Phacelia minor|Phacelia whitlavia,Q428718
12858563-n,straggling California annual herb with deep purple or violet flowers; sometimes placed in genus Nemophila,i104265,fiesta flower|Pholistoma auritum|Nemophila aurita,Q7187098
12860334-n,fragrant European mint having clusters of small violet-and-white flowers; naturalized especially in eastern North America,i104269,basil thyme|basil balm|mother of thyme|Acinos arvensis|Satureja acinos,Q157947
12860928-n,erect perennial with stout stems and yellow-green flowers; southern Canada and southeastern United States,i104272,yellow giant hyssop|Agastache nepetoides,Q15339634
12861262-n,erect perennial of Mexico having rose to crimson flowers,i104274,Mexican hyssop|Agastache mexicana,Q1897366
12861767-n,low rhizomatous European carpeting plant having spikes of blue flowers; naturalized in parts of United States,i104277,creeping bugle|Ajuga reptans,Q157249
12862114-n,European evergreen carpeting perennial,i104279,pyramid bugle|Ajuga pyramidalis,Q159714
12862632-n,ill-smelling European herb with rugose leaves and whorls of dark purple flowers,i104282,black horehound|black archangel|fetid horehound|stinking horehound|Ballota nigra,Q157878
12863279-n,"a variety of wood mint with flowers light blue, pale purple or white with purple spots (Blephilia hirsuta)",i104285,hairy wood mint|Blephilia hirsuta,Q4926162
12864076-n,"aromatic herb with large pink flowers; native to southern and southeastern Europe, Anatolia, northern Iran",i104290,large-flowered calamint|Calamintha grandiflora|Clinopodium grandiflorum|Satureja grandiflora,Q2629469
12864317-n,low-growing strongly aromatic perennial herb of southern Europe to Great Britain; naturalized in United States,i104291,lesser calamint|field balm|Calamintha nepeta|Calamintha nepeta glantulosa|Satureja nepeta|Satureja calamintha glandulosa,Q164271
12864730-n,"aromatic herb having heads of small pink or whitish flowers; widely distributed in United States, Europe and Asia",i104293,wild basil|cushion calamint|Clinopodium vulgare|Satureja vulgaris,Q163952
12866173-n,perennial aromatic herb of southeastern Asia having large usually bright-colored or blotched leaves and spikes of blue-violet flowers; sometimes placed in genus Solenostemon,i104299,painted nettle|Joseph's coat|Coleus blumei|Solenostemon blumei|Solenostemon scutellarioides,Q50838949
12866668-n,small shrub of Apalachicola River area in southeastern United States having highly aromatic pinkish flowers; a threatened species,i104301,Apalachicola rosemary|Conradina glabra,Q5162656
12867768-n,coarse bristly Eurasian plant with white or reddish flowers and foliage resembling that of a nettle; common as a weed in United States,i104307,hemp nettle|dead nettle|Galeopsis tetrahit,Q157684
12869259-n,a European mint with aromatic and pungent leaves used in perfumery and as a seasoning in cookery; often cultivated as a remedy for bruises; yields hyssop oil,i104314,hyssop|Hyssopus officinalis,Q137931
12870039-n,European dead nettle with white flowers,i104318,white dead nettle|Lamium album,Q157626
12870928-n,shrubby greyish lavender of southwestern Europe having usually reddish-purple flowers,i104323,French lavender|Lavandula stoechas,Q1342976
12871854-n,pantropical herb having whorls of striking lipped flowers; naturalized in United States,i104328,lion's-ear|Leonotis nepetaefolia|Leonotis nepetifolia,Q104996230
12872620-n,California plant with woolly stems and leaves and large white flowers,i104332,pitcher sage|Lepechinia calycina|Sphacele calycina,Q6527334
12874466-n,dwarf aromatic shrub of Crete,i104342,dittany of crete|cretan dittany|crete dittany|hop marjoram|winter sweet|Origanum dictamnus,Q1227336
12874953-n,European aromatic herb with hairy leaves and numerous white flowers in axillary cymes; leaves yield a bitter extract use medicinally and as flavoring,i104345,common horehound|white horehound|Marrubium vulgare,Q157631
12876125-n,European mint naturalized in United States,i104350,corn mint|field mint|Mentha arvensis,Q160585
12876254-n,a European mint that thrives in wet places; has a perfume like that of the bergamot orange; naturalized in eastern North America,i104351,water-mint|water mint|Mentha aquatica,Q161232
12876851-n,herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring,i104354,peppermint|Mentha piperita,Q102165594
12877964-n,trailing perennial evergreen herb of northwestern United States with small white flowers; used medicinally,i104360,yerba buena|Micromeria chamissonis|Micromeria douglasii|Satureja douglasii,Q110069657
12878216-n,dwarf aromatic shrub of Mediterranean regions,i104361,savory|Micromeria juliana,Q15342450
12879378-n,tall erect perennial or annual having lanceolate leaves and heads of purple-spotted creamy flowers; many subspecies grown from eastern to southwestern United States and in Mexico,i104367,horsemint|Monarda punctata,Q1760733
12880032-n,perennial herb of North America (New York to Illinois and mountains of Alaska) having aromatic leaves and clusters of yellowish-pink balls,i104371,basil balm|Monarda clinopodia,Q15342522
12882301-n,a spreading subshrub of Mediterranean regions cultivated for dense axillary whorls of purple or yellow flowers,i104383,Jerusalem sage|Phlomis fruticosa,Q1322796
12884579-n,perennial herb of the eastern United States having inconspicuous greenish flowers and narrow leaves that are very aromatic when bruised,i104395,basil mint|Pycnanthemum virginianum,Q7262902
12884920-n,widely cultivated for its fragrant grey-green leaves used in cooking and in perfumery,i104397,rosemary|Rosmarinus officinalis,Q122679
12887093-n,California erect and sparsely branched perennial,i104409,pitcher sage|Salvia spathacea,Q7406901
12887219-n,an herb from Oaxaca that has a powerful hallucinogenic effect; the active ingredient is salvinorin,i104410,Mexican mint|Salvia divinorum,Q320584
12887944-n,erect annual herb with oval leaves and pink flowers; used to flavor e.g. meats or soups or salads; southeastern Europe and naturalized elsewhere,i104414,summer savory|Satureja hortensis|Satureia hortensis,Q157283
12888209-n,erect perennial subshrub having pink or white flowers and leathery leaves with a flavor of thyme; southern Europe,i104415,winter savory|Satureja montana|Satureia montana,Q160186
12890428-n,subshrub with serrate leaves and cream-colored to pink or purple flowers in spikelike racemes; North America,i104426,American germander|wood sage|Teucrium canadense,Q15370692
12890808-n,Mediterranean germander having small hairy leaves and reddish purple flowers; attractive to cats,i104428,cat thyme|marum|Teucrium marum,Q2701046
12891442-n,common aromatic garden perennial native to the western Mediterranean; used in seasonings and formerly as medicine,i104432,common thyme|Thymus vulgaris,Q148668
12891651-n,aromatic dwarf shrub common on banks and hillsides in Europe; naturalized in United States,i104433,wild thyme|creeping thyme|Thymus serpyllum,Q147251
12892456-n,aromatic plant of western United States,i104437,turpentine camphor weed|camphorweed|vinegarweed|Trichostema lanceolatum,Q7841022
12896029-n,annual of southern United States to Mexico having large whitish or yellowish flowers mottled with purple and a long curving beak,i104454,common unicorn plant|devil's claw|common devil's claw|elephant-tusk|proboscis flower|ram's horn|Proboscidea louisianica,Q2111569
12896457-n,alternatively placed in genus Martynia,i104456,sand devil's claw|Proboscidea arenaria|Martynia arenaria,Q112115808
12896621-n,a herbaceous plant of the genus Proboscidea,i104457,sweet unicorn plant|Proboscidea fragrans|Martynia fragrans,Q65946234
12899085-n,small pale plant with dense spikes of pale bluish-violet flowers; of high cold meadows from Wyoming and Utah to New Mexico,i104468,Alpine besseya|Besseya alpina,Q15349558
12899544-n,multi-stemmed North American annual having solitary axillary dark golden-yellow flowers resembling those of the foxglove; sometimes placed in genus Gerardia,i104470,false foxglove|Aureolaria pedicularia|Gerardia pedicularia,Q15347219
12899828-n,sparsely branched North American perennial with terminal racemes of bright yellow flowers resembling those of the foxglove; sometimes placed in genus Gerardia,i104471,false foxglove|Aureolaria virginica|Gerardia virginica,Q15344264
12901559-n,plant of moist highland meadows having ragged clusters of pale yellow flowers,i104479,sulfur paintbrush|Castilleja sulphurea,Q15348639
12902391-n,white and lavender to pale-blue flowers grow in perfect rings of widely spaced bands around the stems forming a kind of pagoda; California,i104483,purple chinese houses|innocense|Collinsia bicolor|Collinsia heterophylla,Q5147432
12902918-n,eastern United States plant with whorls of blue-and-white flowers,i104485,blue-eyed Mary|Collinsia verna,Q5147442
12904860-n,North American plant having racemes of blue-violet flowers,i104495,blue toadflax|old-field toadflax|Linaria canadensis,Q50844254
12905020-n,common European perennial having showy yellow and orange flowers; a naturalized weed in North America,i104496,toadflax|butter-and-eggs|wild snapdragon|devil's flax|Linaria vulgaris,Q157078
12906025-n,plant with bright red tubular flowers in long narrow clusters near tips of erect stems; coastal ranges from central California southward,i104499,scarlet bugler|Penstemon centranthifolius,Q7164841
12906514-n,erect plant with blue-violet flowers in rings near tips of stems; Idaho to Utah and Wyoming,i104501,Platte River penstemon|Penstemon cyananthus,Q17739470
12906716-n,mat-forming plant with blue and lavender flowers clustered on short erect stems; British Columbia to northern California,i104502,Davidson's penstemon|Penstemon davidsonii,Q17514283
12907162-n,low plant with light blue and violet flowers in short clusters near tips of stems; Nevada to Utah,i104504,Jones' penstemon|Penstemon dolius,Q3374845
12907360-n,low bushy plant with large showy pale lavender or blue-violet flowers in narrow clusters at ends of stems,i104505,shrubby penstemon|lowbush penstemon|Penstemon fruticosus,Q15352492
12907825-n,mat-forming plant with deep pink flowers on short erect leafy stems; rocky places at high elevations from Oregon to California,i104507,mountain pride|Penstemon newberryi,Q7164872
12908053-n,fragrant puffed-up white to reddish-pink flowers in long narrow clusters on erect stems; Arizona to New Mexico and Utah,i104508,balloon flower|scented penstemon|Penstemon palmeri,Q2716749
12908292-n,erect stems with pinkish-lavender flowers in long interrupted clusters; Arizona,i104509,Parry's penstemon|Penstemon parryi,Q7164874
12908776-n,plant with whorls of small dark blue-violet flowers; Washington to Wyoming and south to California and Colorado,i104511,Rydberg's penstemon|Penstemon rydbergii,Q17739134
12908994-n,whorls of deep blue to dark purple flowers at tips of erect leafy stems; moist places from British Columbia to Oregon,i104512,cascade penstemon|Penstemon serrulatus,Q17514290
12909217-n,wine and lavender to purple and black flowers in several clusters on the upper half of leafy stems; Montana south through the Rocky Mountains to Arizona and New Mexico,i104513,Whipple's penstemon|Penstemon whippleanus,Q17741157
12909979-n,European mullein with smooth leaves and large yellow or purplish flowers; naturalized as a weed in North America,i104516,moth mullein|Verbascum blattaria,Q159450
12910172-n,densely hairy Eurasian herb with racemose white flowers; naturalized in North America,i104517,white mullein|Verbascum lychnitis,Q158889
12910339-n,Eurasian mullein with showy purple or pink flowers,i104518,purple mullein|Verbascum phoeniceum,Q159104
12911250-n,European plant with minute axillary blue flowers on long stalks; widely naturalized in America,i104522,field speedwell|Veronica agrestis,Q159120
12911688-n,erect or procumbent blue-flowered annual found in waste places of Europe and America,i104524,corn speedwell|Veronica arvensis,Q157903
12912065-n,Old World plant with axillary racemes of blue-and-white flowers,i104526,germander speedwell|bird's eye|Veronica chamaedrys,Q157343
12912229-n,plant of wet places in Eurasia and America,i104527,water speedwell|Veronica michauxii|Veronica anagallis-aquatica,Q15373683
12912773-n,perennial decumbent herb having small opposite leaves and racemes of blue flowers; throughout Eurasia and the New World,i104530,thyme-leaved speedwell|Veronica serpyllifolia,Q159724
12914753-n,coarse prickly weed having pale yellow flowers and yellow berrylike fruit; common throughout southern and eastern United States,i104535,horse nettle|ball nettle|bull nettle|ball nightshade|Solanum carolinense,Q1044376
12915007-n,hardy climbing shrub of Chile grown as an ornamental for its fragrant flowers; not a true potato,i104536,potato tree|Solanum crispum,Q145597
12915198-n,South American potato vine,i104537,Uruguay potato|Uruguay potato vine|Solanum commersonii,Q3489179
12915690-n,weedy nightshade with silvery foliage and violet or blue or white flowers; roundish berry widely used to curdle milk; central United States to South America,i104539,trompillo|white horse nettle|prairie berry|purple nightshade|silverleaf nightshade|silver-leaved nightshade|silver-leaved nettle|Solanum elaeagnifolium,Q2716800
12916058-n,"woolly-stemmed biennial arborescent shrub of tropical Africa and southern Asia having silvery-white prickly branches, clusters of blue or white flowers, and bright red berries resembling holly berries",i104540,African holly|Solanum giganteum,Q15535391
12917622-n,small South American shrub cultivated as a houseplant for its abundant ornamental but poisonous red or yellow cherry-sized fruit,i104546,Jerusalem cherry|winter cherry|Madeira winter cherry|Solanum pseudocapsicum,Q1475749
12918548-n,vine of Costa Rica sparsely armed with hooklike spines and having large lilac-blue flowers,i104550,potato vine|giant potato creeper|Solanum wendlandii,Q1764686
12918759-n,South American shrub or small tree widely cultivated in the tropics; not a true potato,i104551,potato tree|Brazilian potato tree|Solanum wrightii|Solanum macranthum,Q3489192
12919926-n,West Indian shrub with fragrant showy yellowish-white flowers,i104557,lady-of-the-night|Brunfelsia americana,Q992604
12920297-n,a South American plant that is cultivated for its large fragrant trumpet-shaped flowers,i104559,angel's trumpet|maikoa|Brugmansia arborea|Datura arborea,Q134360
12920512-n,South American plant cultivated for its very large nocturnally fragrant trumpet-shaped flowers,i104560,angel's trumpet|Brugmansia suaveolens|Datura suaveolens,Q3314772
